guess,exp_remaining,entropy,worst_case,partitions
lares,288.7382053654024,6.14991874245313,832,192
rales,292.10607462226335,6.1143430994542305,832,182
tares,302.49167437557816,6.19405254437545,858,212
soare,303.8308664816528,6.06139539909626,769,179
reais,304.7610237434474,6.049777632888323,769,185
nares,305.54872032069073,6.066830765753897,823,184
aeros,309.73342584027137,6.013480318472086,801,172
rates,311.35538082022816,6.096242642514604,858,196
arles,314.73388837496145,6.029656532378526,832,174
serai,315.1333641689793,5.9736171680399535,697,173
saner,317.73604687018195,5.999263329266241,840,182
tales,325.5948196114709,6.054987761401192,865,196
aloes,326.70012334258405,5.944708752487147,850,173
reals,329.109004008634,5.999162055397664,832,186
lanes,330.21122417514647,5.971303767248142,842,187
lears,331.2750539623805,5.988782099885763,832,188
salet,333.65094048720323,6.016842875398266,865,194
laers,334.46793092815295,5.968985947815141,843,177
seral,335.69719395621337,5.953595576828299,832,182
teras,337.03839037927844,6.076619177276176,858,209
lores,339.86432315757014,5.976968564571464,986,188
earls,342.10021584952204,5.92662500939885,862,180
saine,342.25346901017576,5.962649288084524,848,187
raise,343.4048720320691,5.919736842516201,882,178
roles,345.1032994141227,5.941958662971235,986,181
reans,347.0380820228184,5.950810301312467,823,190
tears,349.5169596053037,6.032338670239809,858,204
aeons,350.06197964847365,5.843026969072004,861,166
sorel,350.32053654024054,5.916675826748222,986,182
nears,350.39870490286773,5.905220533834893,823,177
cares,350.9448041936479,5.966406181817178,901,196
aures,352.22463768115944,5.9301547505576275,885,181
dares,352.5821769966081,6.01033472994901,988,199
nates,352.6737588652482,5.895559211507816,850,181
stoae,353.4582176996608,5.770918828186665,825,164
laser,354.03576934936785,5.82967863570356,975,178
strae,354.16419981498615,5.897739659351546,858,178
toeas,354.6967314215233,5.905026726887668,962,177
tores,358.1404563675609,6.018294372182983,1102,199
mares,359.2058279370953,5.951777451541269,978,191
soler,360.90579710144925,5.8646463569754,986,177
sared,360.9370952821462,5.942603015777049,988,190
races,361.3085106382979,5.8590124299088595,901,176
pares,362.0741597286463,5.967345992114724,972,201
taser,362.45436324390994,5.88328309650694,1013,186
earns,362.55211224175144,5.884742020852892,943,176
orles,364.5107924761024,5.817171120284681,986,169
rones,365.4036386062288,5.896162519599141,1003,187
hares,366.0618254702436,5.877285065428586,937,190
snare,368.4400246685168,5.835020926007217,840,177
riles,368.79124267653407,5.8809666732015815,1029,185
sayer,369.98905334566757,5.735859291347878,940,167
rotes,370.56382978723406,5.917235482693107,1102,187
teals,371.2254085723096,5.938324842377538,913,195
stare,371.77027443724944,5.836005444667994,858,176
rapes,372.6460067838421,5.854187976967608,972,183
solei,372.7688868331792,5.790176208511162,860,166
leans,373.5,5.850950192144488,893,185
leats,374.990903484428,5.912290462231833,913,193
aesir,375.09343200740057,5.755166239558118,868,167
gares,375.62796793092815,5.862407509254536,982,192
neals,376.74761023743446,5.812018158021402,893,174
taels,376.86786925686096,5.9209441594692125,1123,189
dales,377.68840579710144,5.882367241549497,1007,189
laris,377.83024976873264,5.85492700904544,1071,183
dates,381.89793401171755,5.826197447356993,965,180
arose,382.0536540240518,5.754577440844561,867,164
taros,382.51788467468396,5.88137182732092,1064,196
bares,383.0744680851064,5.861712108863832,1008,199
rails,383.51803885291395,5.837152177110933,1071,179
tires,384.25794017884675,5.963365144184272,1161,196
lades,384.7258711069997,5.814185791113591,1007,186
roues,384.75979031760716,5.786879918257064,1028,171
siler,385.1507863089732,5.803012613116467,1029,178
kaies,385.22463768115944,5.726306673769942,821,164
rages,385.31606537156955,5.771715184223101,982,179
arets,386.24606845513415,5.879865984189512,940,184
lairs,386.5185013876041,5.820600368847814,1071,180
slate,386.7311131668208,5.8712153731584085,865,190
saice,388.4218316373728,5.7562967582084354,936,171
toles,388.7422139993833,5.882623256205499,1093,189
setal,389.83687943262413,5.797054697177062,913,176
dears,390.0723095898859,5.865236013129893,988,189
leirs,390.15063213074313,5.815291576400969,1029,174
sated,390.40934320074007,5.764406874489556,965,175
slier,391.5072463768116,5.775420338484018,1029,167
aides,391.97872340425533,5.766044574826906,1032,177
arise,392.4685476410731,5.7765212544104765,882,180
saute,392.8559975331483,5.799591561605326,988,177
ratos,392.93246993524514,5.790955867602784,1064,190
laces,393.11532531606537,5.758356997528116,941,170
tries,393.7950971322849,5.919202729460114,1161,196
ayres,394.04933703361087,5.763368454159949,993,180
salue,394.1145544249152,5.780382343192868,991,170
slane,394.15464076472404,5.795810089691079,885,182
antes,394.4514338575393,5.766544561894724,901,178
stear,394.64153561517116,5.715248709524919,940,172
yales,395.2732038236201,5.730147794617368,988,169
acres,395.2795251310515,5.752465307278681,901,179
toras,395.327320382362,5.873704990539328,1064,198
reads,395.5445575084798,5.819907032958897,988,187
males,395.63567684242986,5.81913292557212,1023,187
siren,396.3891458526056,5.8338572378274325,1118,182
canes,396.7921677459143,5.772940545970319,939,177
taces,396.9144310823312,5.776164996137419,920,181
rines,397.4603761948813,5.829793049137055,1084,188
lotes,397.4781066913352,5.814982782561457,1093,180
cates,397.759019426457,5.782781006281964,920,181
renos,398.1848596978107,5.747428776759419,1003,179
sager,398.9289238359544,5.694507351906511,982,171
neats,399.23342584027137,5.8141003660667385,979,182
soral,399.41242676534074,5.740795081622231,980,174
liras,399.45652173913044,5.788630749129669,1071,180
noles,399.5871106999692,5.758692991695118,1020,177
rakes,399.6555658341042,5.71869137193987,1063,166
stale,399.7150786308973,5.750254741695742,865,183
rites,399.9580635214308,5.85877890147269,1161,195
pales,399.98427382053654,5.833248094969354,1022,195
solar,400.5644465001542,5.741949064517478,980,172
lames,400.68285538082023,5.767210992141905,1023,177
tames,401.3219241443108,5.783129987193512,992,182
resat,401.51387604070305,5.7809260943215115,1013,192
seron,402.56722170829477,5.732550030364615,1003,178
rials,403.62025901942644,5.77309423828877,1071,176
ureas,403.64616096207214,5.6824287117831584,1013,165
serac,403.96130126426146,5.720866977119145,921,168
roans,403.9885908109775,5.767354162730724,1038,175
saber,404.2073697193956,5.683433409827493,1008,173
manes,404.2190872648782,5.755024596894308,968,182
hales,404.34643848288624,5.741961976120325,968,181
mates,404.4082639531298,5.7657809856933655,992,182
raits,405.1322849213691,5.860379947135738,1181,188
senor,405.4569842738205,5.698378214969023,1003,169
aunes,405.4881282762874,5.736377368105174,983,171
apres,405.89423373419675,5.770210625398161,972,191
yates,406.33657107616403,5.678963948767839,1014,163
eorls,406.34242984890534,5.734969684109898,986,170
panes,406.47563983965466,5.771526933700241,982,184
eards,406.9710144927536,5.745698050661166,988,177
rotas,407.80804810360775,5.7807419637620585,1064,187
saned,408.62195497995685,5.762220271811982,1007,184
orals,408.92167745914276,5.666097086889467,980,159
naris,409.2167745914277,5.772280305738515,1165,185
liars,409.25316065371567,5.753554228790427,1071,177
sarge,409.77567067530066,5.764567684507771,982,183
reast,410.0644465001542,5.781404280769132,1032,188
years,410.1695960530373,5.694168021561676,993,172
tapes,410.34350909651556,5.768710467543875,1002,184
