guess,episodes,solve_rate,avg_steps_solved,median_steps,p90_steps,p95_steps,solved
stare,1000,0.999,3.559,4,4.0,5.0,999
trace,1000,0.998,3.537,3.0,4.1,5.0,998
crate,1000,0.998,3.551,4.0,5.0,5.0,998
slate,1000,0.998,3.558,3.5,5.0,5.0,998
raise,1000,0.997,3.677,4,5.0,5.0,997
slice,1000,0.996,3.633,4.0,5.0,5.0,996
toast,1000,0.996,3.82,4.0,5.0,5.0,996
stole,1000,0.994,3.647,4.0,5.0,5.0,994
roast,1000,0.993,3.623,4,5.0,5.0,993
crane,1000,0.992,3.625,4.0,5.0,5.0,992
ocean,1000,0.991,3.741,4,5.0,5.0,991
irate,1000,0.988,3.629,4.0,5.0,5.0,988
